Mol,Smiles
<rdkit.Chem.rdchem.Mol object at 0x00000219AF980890>,OC(O)(C(F)(F)F)C(F)(F)F
<rdkit.Chem.rdchem.Mol object at 0x00000219AF96AD50>,CCCCC[C@H](O)/C=C/[C@H]1C(=O)C[C@H](O)[C@@H]1C/C=C\CCCC(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF99B680>,CC(=O)N[C@H](Cc1ccc(OCC(=O)O)c(P(=O)(O)O)c1)C(=O)N[C@@H](C)c1ccc(OCC2CCCCC2)c(C(N)=O)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E9700>,CC(=O)c1ccc(-c2cc(NS(=O)(=O)c3ccc(C)cc3C)c(C(=O)O)s2)s1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97DE70>,Cc1ccc2c(c1)ncn2[C@@H]1O[C@@H](COP(=O)(O)O)[C@H](O)[C@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF970890>,O=c1n(C[C@H](O)[C@H](O)[C@H](O)CO)c2nc(O)nc(O)c2n1CCCOP(=O)(O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF985690>,COc1ccc2c(c1)c(CC(=O)O)c(C)n2Cc1ccccc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF972570>,O=C(c1ccc2ccccc2c1)[C@@H](c1cccc2ccccc12)P(=O)(O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF964660>,CCO[P@@](=O)(O)OP(=O)(O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97BC30>,CC[Hg]Sc1ccccc1C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF98A880>,Cc1ncc(COP(=O)(O)O)c(CN[C@H](C)P(=O)(O)O)c1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B9690>,Nc1ccccc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF956C00>,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9C6810>,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1c[nH]c3ncccc13)C2
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9785F0>,CCCCC[C@H](S)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](C)C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9D1D20>,N#Cc1ccc(NCC(F)(F)c2ccccn2)c(F)c1CC(=O)NCCONC(=N)N
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F8D60>,COC(=O)C1=C(C)NC(C)=C(C(=O)O[C@H]2CCN(Cc3ccccc3)C2)[C@H]1c1cccc([N+](=O)[O-])c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF96FF40>,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B2960>,CCN(CC)CCNc1ccc(C)c2sc3ccccc3c(=O)c12
<rdkit.Chem.rdchem.Mol object at 0x00000219AF972C70>,CC(C)C[C@H](NC(=O)[C@H]1CC(=O)NCCCCCCOC(=O)N[C@@H](C(C)C)C(=O)N1)[C@H](O)C[C@H](C)C(=O)N[C@H](C(=O)NCc1ccccc1)C(C)C
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9DF3E0>,N#C/C(C(=O)Nc1ccc(-c2ccccc2)cc1)=C(/O)C1CC1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9EFE60>,Cc1nc(NS(=O)(=O)c2ccc(N)cc2)oc1C
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9DC5F0>,COc1ccc(NC2=C(c3ccccc3)C(=O)N(Cc3ccccc3)C2=O)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF948900>,CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9AE730>,CC(C)C[C@H](NC(=O)c1ccc([N+](=O)[O-])cc1)C(=O)N1CCC[C@H]1C(=O)NCCCCN=C(N)N
<rdkit.Chem.rdchem.Mol object at 0x00000219AF999770>,C[C@@H](NC(=O)CCCC[C@@H](NC(=O)C[NH3+])C(=O)[O-])C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E9230>,CC(=O)Nc1ccc(C[P@](=O)([O-])O[C@H](C)c2ccccc2)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97E9D0>,O=C(O)[C@@H]1CSCN1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9AEFF0>,N=C(N)c1ccc(O[C@H]2CO[C@H]3[C@@H]2OC[C@H]3Oc2cccc(C(=N)N)c2)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9AFD80>,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E6180>,O=[N+]([O-])c1ccc(S[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9BEA40>,O=C(O)c1[nH]c(C(=O)O)c(-c2c[nH]c3c(Cl)cccc23)c1-c1c[nH]c2c(Cl)cccc12
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9640B0>,NS(=O)(=O)c1ccc(F)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9E5A80>,O=C(O)CCCCCNC(=O)CCC[P@@](=O)(O)Oc1ccc([N+](=O)[O-])cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9D1EE0>,CC1=C(C)C(=O)c2ccccc2C1=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B1930>,Cc1ccc(C23CNCC2C3)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF95F4C0>,O=C(O)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF93C270>,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2
<rdkit.Chem.rdchem.Mol object at 0x00000219AF95DAF0>,N#Cc1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF981A10>,CCN1C(=O)C=CC1=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF987ED0>,Nc1ncnc2c1ncn2[C@H]1C[C@@H](O)[C@H](CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF991CB0>,Nc1nc(=O)c2c([nH]1)NC[C@@H](CCc1ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc1)C2
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9ACC80>,O=S(=O)(c1cccc2c(O)nccc12)N1CCCNCC1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9AFAE0>,CC(C)NNC(=O)c1ccncc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B47B0>,CCCn1c(=O)c2[nH]c(C34CC5CC(CC3C5)C4)nc2n(CCC)c1=O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9BA3B0>,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F19A0>,O=C(O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(O)(c1cccs1)c1cccs1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9A1930>,C/C=c1/c(C)c2n3c1=Cc1c(C)c(CCC(=O)O)c4n1[Zn@]31n3c(c(C)/c(=C/C)c3=C2)C=c2c(C)c(CCC(=O)O)c(n21)=C4
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9EF0D0>,NS(=O)(=O)c1nc2ccc(O)cc2s1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9768F0>,NC(=[NH2+])c1ccc2[nH]c(-c3cccc(OC4CCCC4)c3[O-])nc2c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF959D20>,CC(CC(C)(C)O)OC(O)C(Cl)(Cl)Cl
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9DD230>,O=C(Nc1ccc2[nH]cc(CCc3ccncc3)c2c1)c1cc(F)cc(N2CCOCC2)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9C9070>,CCS(=O)(=O)c1ccc(OC)c(Nc2ncc(-c3cccc(-c4ccccn4)c3)o2)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9AE1F0>,Cc1cccc(CNC(=O)c2cc(C(=O)NCc3cccc(C)c3)ncn2)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9599A0>,C[C@]12CC[C@H]3[C@@H](CCC4=C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF93EF10>,O=C(c1ccccc1)c1ccc2n1CCC2C(=O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9CCCF0>,Oc1ccc(-c2ccccc2)cc1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF93D2A0>,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B8B30>,CNCCc1ccccn1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF98D000>,CCCCCCCCCCCCCCCCCC(=O)OC[C@@H](CO[C@H]1O[C@@H](CO[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O)OC(=O)CCCCCCCCCCCCCCCCC
<rdkit.Chem.rdchem.Mol object at 0x00000219AF95AAB0>,CN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
<rdkit.Chem.rdchem.Mol object at 0x00000219AF96E730>,O=C([O-])CC(=O)[O-]
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97F300>,O=P(O)(O)OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B36F0>,CN1[C@@H](CC(=O)c2ccccc2)CCC[C@H]1C[C@H](O)c1ccccc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9B4AC0>,O.O=O.[O-][Cl+][O-].[O-][Cl+][O-].[O-][Cl+][O-].[O-][Cl+][O-]
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9DBC30>,COc1cc(Nc2nccc(N(C)c3ccc4c(C)n[nH]c4c3)n2)cc(OC)c1OC
<rdkit.Chem.rdchem.Mol object at 0x00000219AF95AF80>,C=CCOc1ccccc1OCC(O)CNC(C)C
<rdkit.Chem.rdchem.Mol object at 0x00000219BF6F8040>,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC
<rdkit.Chem.rdchem.Mol object at 0x00000219AF96C7B0>,O=C(CI)Nc1cccc(B(O)O)c1
<rdkit.Chem.rdchem.Mol object at 0x00000219AF9A2B20>,N[C@H](C(=O)O)c1ccc(O)cc1
<rdkit.Chem.rdchem.Mol object at 0x00000219AC95C820>,FC(F)OC(F)(F)C(F)Cl
<rdkit.Chem.rdchem.Mol object at 0x00000219AF97F370>,N[C@@H](CCc1ccccc1)CCS(=O)(=O)c1ccccc1
