zinc_id,smiles
ZINC000000896621,O[C@@]1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21
ZINC000001846088,CCN1CCC[C@H]1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC
ZINC000001850508,CCCCCCCCCc1ccc(OCCO)cc1
ZINC000001855421,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21
ZINC000000004227,CCN(CC)[C@@H](C)CN1c2ccccc2Sc2ccccc21
ZINC000000004234,CC(C)C(=O)c1c(C(C)C)nn2ccccc12
ZINC000003831106,CCC1(CC)C(=O)NC[C@@H](C)C1=O
ZINC000003831107,CCC1(CC)C(=O)NC[C@H](C)C1=O
ZINC000253636802,CCC(=O)[C@@]1(C)[C@H](C)C[C@@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
ZINC000255965157,CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@H]3[C@H](C)C[C@H](O)C(C)(C)[C@@H]3[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@]12C
ZINC000255977093,CC(=O)O[C@H]1C[C@H](O[C@@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)O[C@H](C)[C@H]1O
ZINC000256015222,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](N)CSSC[C@H](C(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H]([C@H](C)O)NC1=O
ZINC000256015224,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](N)CSSC[C@H](C(=O)N2CCC[C@@H]2C(=O)N[C@H](CC(C)C)C(=O)NCC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H]([C@@H](C)O)NC1=O
ZINC000257420679,CCN(CC)CC(=O)OCC(=O)[C@]1(O)CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@]4(C)[C@@H]3[C@H](O)C[C@]21C
ZINC000257420681,CCN(CC)CC(=O)OCC(=O)[C@]1(O)CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@]4(C)[C@@H]3[C@H](O)C[C@@]21C
ZINC000011616152,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C
ZINC000011616154,CO[C@H]1[C@H](OC(N)=O)[C@@H](O)[C@@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C
ZINC000012503200,C/C=C(C(=C\C)\c1ccc(O)cc1)/c1ccc(O)cc1
ZINC000261527168,C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=C/C(=N\O)CC[C@@H]4[C@H]3CC[C@]21CC
ZINC000084403367,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@@H]1c1cccc([N+](=O)[O-])c1
ZINC000014768469,Cc1cc(=O)c(C(=O)N[C@@H](C(=O)N[C@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)c[nH]1
ZINC000014879963,CC(C)(C)S(=O)(=O)C[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@H](CC1CCCCC1)[C@H](O)[C@H](O)C1CC1
ZINC000087496183,CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C
ZINC000015831592,O=[N+]([O-])c1ccc(O)c2ncccc12
ZINC000212549609,CCN[C@@H]1[C@H]2CC[C@@H](C2)[C@H]1c1ccccc1
ZINC000003831171,CCN(CC)CCOC(=O)[C@@H](Cc1cccc2ccccc12)C[C@@H]1CCCO1
ZINC000003874604,CC(C)(CO)[C@@H](O)C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)CO
ZINC000000000136,NC(=O)OC[C@@H](O)COc1ccc(Cl)cc1
ZINC000000000374,C[C@@H](O)c1ccc(S(=O)(=O)/N=C(\O)NC2CCCCC2)cc1
ZINC000000000642,C[C@H]1CCC[C@@H](C)N1CCC[C@@](O)(c1ccccc1)c1ccccn1
ZINC000000006047,CC(C)N(CC[C@H](c1ccccc1)c1cc(CO)ccc1O)C(C)C
ZINC000000006164,CC1(C)CO[C@@H](CC(=O)O)CN1
ZINC000000020246,COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2
ZINC000000056544,CC/C(=C(\CC)c1ccc(O)cc1)c1ccc(O)cc1
ZINC000000057461,CCn1cc(C(=O)O)c(=O)c2cnc(N3CCCC3)nc21
ZINC000000538285,Cc1ccc2c([nH]c(=O)c3c(=O)cc(C(=O)OCCC(C)C)oc32)c1C
ZINC000000586239,C[C@@H]1CN(C2CCC(C#N)(c3ccc(F)cc3)CC2)CC[C@]1(C(=O)O)c1ccccc1
ZINC000000598852,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
ZINC000000897317,NC(=O)OC[C@H](O)COc1ccc(Cl)cc1
ZINC000001481908,CCC[C@H](Cc1ccccc1)N1CCCC1
ZINC000001483896,CNc1ncc(-c2ccc3c(=O)c(C(=O)O)cn(C4CC4)c3c2C)cc1C
ZINC000001530668,CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C
ZINC000001530934,CCCOC(C(=O)OC1CCN(C)CC1)(c1ccccc1)c1ccccc1
ZINC000001532419,C=C(C)[C@H]1CC=C(C(=O)O)CC1
ZINC000001533874,N#CCCN1C(=O)[C@H](O)N=C(c2ccccc2F)c2cc(Cl)ccc21
ZINC000001537194,Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1
ZINC000001571392,O=[P@]1(N(CCCl)CCCl)OCCCN1CCCl
ZINC000001585847,CC/C(=C(/c1ccc(OCCN(C)C)cc1)c1cccc(O)c1)c1ccccc1
ZINC000001656905,COc1ccc2c3c1O[C@H]1[C@H](O)CC[C@@]4(O)[C@@H](C2)NCC[C@]314
ZINC000001656906,COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)NCC[C@]314
ZINC000001678599,CCC[C@@H](Cc1ccccc1)N1CCCC1
ZINC000001692966,COc1cc(C[C@@H](C)N)ccc1O
ZINC000001849578,CCOC(=O)c1c(C)nc(C)c(C(=O)OC)c1-c1cccc(Cl)c1Cl
ZINC000001869573,O=P(O)(NCCCl)NCCCl
ZINC000001873617,CCNCCC[C@H](C)Nc1ccnc2cc(Cl)ccc12
ZINC000002020068,C[C@H]1CCC[C@@H](C)N1CCC[C@](O)(c1ccccc1)c1ccccn1
ZINC000002021799,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC
ZINC000002032663,C[C@H](O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
ZINC000002042694,CCNCCC[C@@H](C)Nc1ccnc2cc(Cl)ccc12
ZINC000002244165,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=N[C@@H]2O
ZINC000002526388,COc1cc(O)ccc1OCCNC[C@@H](O)COc1cccc2[nH]c3ccccc3c12
