CID,Isomeric SMILES
20901966,CC1CC2=C(N1C(=O)C)C=CC(=C2)S(=O)(=O)N3CCCC(C3)C(=O)NCC4=CC=C(C=C4)OC
6623050,CCN1C(=C(C=N1)C2=NOC(C2)C(=O)NCC(C)C)C
3262381,CCOC(=O)C(=CNCC(=O)OC)C(=O)OCC
2545559,C1CCC2(C1)C(=O)N(C(=O)N2S(=O)(=O)C3=CC=CC=C3F)S(=O)(=O)C4=CC=CC=C4F
655214,CC1=CC=C(C=C1)N2CC(CC2=O)C(=O)NC(C)COC
6603612,CC1=C(C(=CC=C1)C#N)NC2=CC(=O)CC(C2)(C)C.Cl
20900835,CCOC1=CC=CC=C1NS(=O)(=O)C2=CSC(=C2)C(=O)N
4219733,CC1(CC2=C(CO1)C(=NC3=C2C4=C(S3)C(=NN=N4)NCCOC)N5CCOCC5)C
1149664,COC1=CC=C(C=C1)NC(=S)N(CC2=CN=CC=C2)CC3=CC4=CC(=C(C=C4NC3=O)OC)OC
1719056,CC(=O)NC1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)NS(=O)(=O)C3=CC=CC4=C3N=CC=C4
1648597,C1=CC=C(C=C1)CNC(=O)COC(=O)C2=CC=CC=C2Br
4793435,CC(=O)C1=CC(=CC=C1)NC(=O)CNC(=O)CC2=CC=CC=C2
2529509,C1=CC(=CC(=C1)[N+](=O)[O-])C2=NN(C=C2C(=O)O)CCC#N
653110,COC1=CC=C(C=C1)N2CCN(CC2)C(=O)CSC3=CC=CC=C3N
5024743,CN(C)S(=O)(=O)C1=CC=CC(=C1)NC(=O)C2=CC=NC=C2
4027033,CC1=C(C=C(C=C1)S(=O)(=O)N2CCOCC2)NC(=O)COC(=O)CC3=CSC=C3
2942704,CC1=CC(=C(C=C1)C)N2C(C(C2=O)OC3=CC=C(C=C3)OC)C4=CC(=C(C=C4)OC)OC
24978900,CN(CC1=C(C=CC=C1Cl)F)C(=O)CSCC(=O)NC2=CC=C(C=C2)OC
135498058,C/C(=N\N=C/1\NC(=O)CC(S1)C(=O)NC2=CC=CC=C2)/C=C/C3=CC=C(C=C3)N(C)C
2940359,CC1=C(C(=C(C=C1)S(=O)(=O)NC2=CC=NC=C2)C)N(C)S(=O)(=O)C3=CC=C(C=C3)Cl
888605,C1=CC=C(C=C1)C2=CC=CC=C2N3C(=O)C4=C(C3=O)N=CC=C4
24792281,COC1=CC=C(C=C1)CNC(=O)C(C2=CC=C(C=C2)F)OC(=O)C3=CC=CO3
