CID,Isomeric SMILES
16447016,CC1=CC(=CC=C1)CS(=O)(=O)C2=NC=C(C(=N2)C(=O)NC3=NN=C(S3)SC)Cl
2097287,C1CC1NC(=O)COC(=O)C2=CC=CC=C2C(=O)C3=CC(=C(C=C3)Cl)[N+](=O)[O-]
135439903,CC1(CSC(=NCC2=CC=CC=C2)N1)C
16244880,CCCC[N+]1=C2C=CC=CC2=CC3=CC=CC=C31.[I-]
1847069,CCCC1=NC2=C(C(=O)C3=CC=CC=C3N2C)C(=O)N1C4CCCCCC4
5389617,C1=CC=C(C=C1)S(=O)(=O)C/C(=C/CO)/S(=O)(=O)C2=CC=CC=C2
2794916,C1CCC(CC1)N(C2=CC=CC=C2)C(=O)CCl
3830309,C1=CC=C(C=C1)C2C(=C(C(=O)N2C3=NC=CS3)O)C(=O)C4=CC5=CC=CC=C5O4
1719457,C1=CC(=CC(=C1)N2C(=O)C3=CC(=CC4=CC(=CC(=C43)C2=O)[N+](=O)[O-])[N+](=O)[O-])C(=O)O
24981266,CC1=C(SC2=NC=NC(=C12)N3CCC(CC3)C(=O)NC4=NC(=CS4)C5=CC(=C(C=C5)OC)OC)C
11646094,CC1=CC2=C(C=C1NC(=O)C(F)(F)F)N=C3C(=N2)C(=O)NC(=S)N3
1811199,CC1=CC(=CC(=C1S(=O)(=O)NCCOC2=CC=C(C=C2)C(C)(C)C)C)N3CCCC3=O
5431927,C/C(=N/NC(=O)C1=CC2=CC=CC=C2C=C1O)/C3C(=O)C4=CC=CC=C4C3=O
1976940,C1=CC=C2C(=C1)N=C3N2C(=O)/C(=C\C4=CC=C(O4)C5=CC(=CC=C5)C(=O)O)/S3
11905954,C1[C@@H]([C@H]1C(=O)NNC(=S)NC(=O)/C=C/C2=CC=C(C=C2)F)C3=CC=CC=C3
1238357,CC1=C(C(=C(N=C1C)SCC(=O)NC2=NC3=CC=CC=C3S2)C#N)C
