ID,Mol,Smiles,Source
CHEMBL1257839,<rdkit.Chem.rdchem.Mol object at 0x000002210940FED0>,Cc1ccc(NC(=O)Nc2ccc(-c3nc(N4CCOCC4)nc(N4C5CCC4COC5)n3)cc2)cc1,mtor
CHEMBL1760167,<rdkit.Chem.rdchem.Mol object at 0x000002210940FF40>,Cc1nc(N)nc(-n2c(NC3CCOCC3)nc3ccccc32)n1,mtor
CHEMBL1091350,<rdkit.Chem.rdchem.Mol object at 0x000002210940E490>,CN1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(C5CCOCC5)nc(N5C6CCC5COC6)n4)cc3)cc2)CC1,mtor
CHEMBL1091359,<rdkit.Chem.rdchem.Mol object at 0x000002210940E570>,CN(C)CCOc1ccc(NC(=O)Nc2ccc(-c3nc(C4CCOCC4)nc(N4C5CCC4COC5)n3)cc2)cc1,mtor
CHEMBL1091711,<rdkit.Chem.rdchem.Mol object at 0x000002210943C0B0>,CC(C)N1CCN(c2ccc(NC(=O)Nc3ccc(-c4nc(N5C6CCC5COC6)nc(N5CCOC[C@H]5C)n4)cc3)cc2)CC1,mtor
CHEMBL1256467,<rdkit.Chem.rdchem.Mol object at 0x000002210943C190>,CCC(=O)N1CCN(c2ccc(N3C(=O)N(C)Cc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1,mtor
CHEMBL1085177,<rdkit.Chem.rdchem.Mol object at 0x000002210943C200>,Cc1nc(N)ncc1-c1nc(N2CCOCC2)c2sc(CN3CCN(S(C)(=O)=O)CC3)cc2n1,mtor
CHEMBL1098242,<rdkit.Chem.rdchem.Mol object at 0x000002210943C270>,CC(C)(C)OC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NCCF)cc4)nc32)CC1,mtor
CHEMBL561907,<rdkit.Chem.rdchem.Mol object at 0x000002210943C2E0>,COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)NCCF)cc4)nc32)CC1,mtor
CHEMBL1097900,<rdkit.Chem.rdchem.Mol object at 0x000002210943C350>,O=C(Nc1ccccc1)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5ccccc5)CC4)c3n2)cc1,mtor
